30,2544,20540,16735,8394,12097,10586,10073,12785,10346,6771,1175,1045,3866,10512,3766,88401,1115,8312,2970,71,541,616,11430,310,83759,2471,60,2506,2353,2347,3200,4521,3686,7076,3709,28265,18841,16868,3615,4465,2315,49358,51993,3303,12257,782,5977,13320,3450,8087,387,26082,13175,9158,11678,52185,1956,853,15698,9813,1441,7105,2572,810,1749,4102,7033,1098,2706,4714,46369,7604,10867,2569,9738,760,5673,1558,2923,17176,2574,12228,1318,5346,10040,4103,8078,5757,3847,8291,5862,2136,214
31,2252,13987,17445,6334,11816,9100,10224,14556,9417,7548,1152,1016,3788,8810,3634,72437,1786,6976,2581,82,500,522,11857,280,73894,3594,70,2120,1975,2893,3161,3255,3747,5628,3291,22620,14248,13930,3601,3090,2334,42372,43519,2449,10561,949,5535,11488,2519,7761,366,21563,10992,8294,10698,40975,1908,1217,12274,9134,1879,6630,2599,1095,1162,2696,7824,1323,3415,5195,37874,6161,7258,2922,9983,948,4868,2020,2725,16130,2214,10860,1310,6934,9832,3905,7635,5505,3783,9074,5641,1772,226
33,2694,15602,21980,7013,11509,12042,9217,17343,11396,9503,1240,955,3417,11697,3468,82378,1709,7658,4114,80,518,513,9118,223,76763,3325,77,1974,2075,2691,3440,5479,3664,7859,3876,26486,16924,14258,3445,3320,2746,54928,44370,3916,12804,574,4765,13619,3832,9534,299,22857,10889,11523,8965,42229,1873,1876,15099,10346,1162,6949,1850,763,2043,4313,10005,1867,2277,4952,47504,6031,8118,3674,11876,501,7825,2560,3222,21470,3106,12476,1435,7804,12791,4819,6922,7175,3879,10653,5955,2952,129
35,2291,16086,15660,7241,12448,11692,8296,12736,11820,8033,1094,954,3939,10829,3750,73336,1700,7724,4191,111,584,696,10095,313,71009,3930,75,1883,1883,3134,4568,7174,3723,5510,2898,24921,17058,13305,3626,3952,3126,45777,48532,3751,12997,903,5091,16338,4625,8616,412,22733,10245,10029,10977,47008,1931,1718,11797,11825,1972,6676,2864,1241,1854,4562,9355,1801,3247,5221,40414,7128,8677,4017,10705,1020,8386,1891,2598,20703,3526,11253,1857,6960,12092,4625,8063,8152,5376,11062,5729,2814,122
38,2722,14833,18121,6682,11318,11916,8380,15443,8579,7082,1383,1075,3369,10135,3407,69700,2051,10045,4182,96,504,649,9872,435,66497,2213,74,1901,1782,3937,5028,6495,3415,6510,3768,24407,17520,16263,3090,4456,2179,47467,45983,4415,14970,1148,5163,13651,3988,6975,355,23734,12374,10356,10106,44366,2150,1545,15575,10774,1961,6174,2845,1374,1760,4840,8660,1760,4413,5416,42733,6546,8755,3632,10087,1214,7727,2511,3289,22053,3402,11527,2164,9341,12255,3996,7711,6765,4706,10959,6117,3056,218
40,2854,14874,24330,7641,11907,12189,8959,24871,10736,9076,1283,1104,3979,11815,3892,78540,1663,8344,3625,95,536,612,11629,413,77369,2851,70,1980,2087,3750,3404,4996,3527,6171,3465,19192,17251,13615,3698,3561,2829,49062,47355,3278,13589,1075,3988,15664,4673,9529,431,20354,9281,11051,10267,46819,2187,1541,14286,11878,2198,7721,2144,1229,1400,4263,10045,1848,3721,5270,44884,7876,7646,3313,10498,1075,7067,2285,2995,18754,2314,12479,1954,8199,11847,4561,7034,7806,4167,11883,5958,2816,209
41,2577,17378,20848,6742,13128,11434,9584,21691,11440,8482,1228,928,3294,11448,3249,76243,1563,9010,2907,80,471,566,10516,323,71866,2749,82,1885,2058,1982,3947,5254,3990,6344,3318,19390,17561,12487,4003,3412,2701,46176,44796,5103,13669,559,4494,15734,3641,8579,304,18686,10914,11536,10611,44266,1805,768,13579,10707,1099,8666,2459,747,1960,4056,9344,1013,2507,5109,42650,7237,8577,3280,11987,613,6452,1920,2982,21481,3212,12346,1094,6508,13855,4774,7263,6562,3907,11593,5974,2812,152
42,2677,14589,27742,5715,13533,10585,9622,26334,10648,7026,1151,840,3044,12223,3084,82285,1288,10763,2494,80,498,433,10605,225,79500,2510,67,1901,2069,1770,4022,4395,3202,5704,3304,22692,17196,13169,3525,3539,2731,44008,48867,4283,13509,742,4332,12359,2867,7678,301,21991,10960,9323,9040,49251,1940,1494,14700,9630,1631,7038,2230,1202,1487,4786,8816,1802,2090,4480,39743,5292,7336,2892,11051,688,6747,1621,2877,16789,2658,12222,1324,7304,11275,5106,8072,6340,3905,9893,5544,2848,83
43,2786,19512,21153,7339,14215,11940,9812,16423,12875,8220,1261,1054,3772,13150,3538,79815,1931,9206,4190,64,444,738,11962,379,77751,2784,73,1898,1971,3558,3746,6053,3271,6164,3640,24426,19554,13290,3269,4126,2411,47223,47806,3987,16128,1149,5524,15873,3903,9029,351,24388,10115,11826,11768,47668,2055,2154,14124,11526,2394,8416,3705,1422,1265,5262,10410,2471,4040,5147,42255,7098,7870,3678,13558,1191,8165,2249,3138,22471,2757,9801,2175,7937,15152,4768,6314,7975,4506,12707,5994,2434,253
44,1674,14295,29002,6505,10595,9421,7803,23405,9033,6143,1184,935,3154,7862,3255,74071,1459,7124,2399,68,377,535,9394,227,73420,2185,67,1877,2016,2029,2403,4375,3322,5372,3328,23496,15831,13558,3329,3241,1748,46509,46491,3414,11840,673,5933,11401,3084,6283,280,21010,8487,8602,8459,45009,1279,1068,10941,8396,1507,6716,2000,795,1437,3618,6995,1161,2259,4319,40245,5633,6323,2729,9281,497,4890,1784,2611,15620,2947,8067,1089,5147,10272,4294,6349,5122,4092,8886,5305,2896,175
